relative_path,category,status,android_size,steam_size,android_sha256,steam_sha256
bgm/bgm0001.unity3d,bgm,platform_or_content_difference,756620,756620,193f67c8d49d2088b1ae3ab6ea3620ff6f88dc6372663b3177b222970fee998d,39cb41cb4048bd16e4e1843ccefaebf93e43b369580e43b0dbbb25f7bc2cb103
bgm/bgm0002.unity3d,bgm,platform_or_content_difference,804980,804980,4fe8956abb67f481e9d33dc4fd9d4ef0d1688488b53c1d13efbdfebf5394eaa4,5d408fa70430371c3e66e9296d383c9a041a714dbf617104e769ba818a60da3c
bgm/bgm0003.unity3d,bgm,platform_or_content_difference,570825,570825,7ed3a08abf87a0542fcda740ed89beae079174dddc8fa37071993367eaf6bce2,3efc27ec4b64c2e28e9da9ec2e3d68100bc2adb3f41970e490b6ca1c4fb12fa1
bgm/bgm0004.unity3d,bgm,platform_or_content_difference,754542,754542,75647448e4e337633875384bfe4b5f039a2560a16d7088c2a755bec8decfc8ef,8944b6e30701dd179dde509f9b3d620c3fd83686e05409a81ea5829581694a20
bgm/bgm0005.unity3d,bgm,platform_or_content_difference,988484,988484,69f8d4f80a107b33e810662fb2801b034a151c445952b660f975b39906493dec,9750a808db19e32d5d1f71358901c4eb8b89a4e825ee8f8ad6e3dba952a3d523
bgm/bgm0007.unity3d,bgm,platform_or_content_difference,831529,831529,84f363c101dc36ad9d79ee1b254732cb14df371e08c6b6d69552ac86999264d7,ad1d5e213db65c9fb225b1823f2347b1a1de20aa70d83e5563930ef2a423ef39
bgm/bgm0008.unity3d,bgm,platform_or_content_difference,670294,670294,0e7537c8e2e6ea938aad700247da70c325e2432baddc536c352a84670aad5f7d,446ea74fe25bc23ca32a6201caba4912982503b4dade288e0ef4b55286c5a3f6
bgm/bgm0009.unity3d,bgm,platform_or_content_difference,910538,910538,f5e97b029f96c37b5ad7fd8731cb3f6cd9bdf636bc4a41dd4d56c38cc6d315aa,2775bd677924494c9564fdb64da55b8cb86de76036008dc79cbcd5c422a41fe0
bgm/bgm0010.unity3d,bgm,platform_or_content_difference,745825,745825,656b36f858b62d5f7e2f42981ea5783da3d9e503e0fc5e3fc6898ba96be5b718,744b2b7660375783fb9e5714d1bda5cae0f771b362922ab10e06940b928a7b25
bgm/bgm0011.unity3d,bgm,platform_or_content_difference,938195,938196,8607b89025a8057796a568a142e654e9b097a4ddc4e411e97e86e221ceb69011,045401fcd7eaf88f97eaff1f5ebf9a01f86391ea59e711708e2604dbfe3005d9
